Region,Male Voters,Female Voters
Kota Bandar Lampung,395037,395088
Kota Metro,63780,64590
Kab. Lampung Barat,116059,107007
Kab. Lampung Selatan,404745,392034
Kab. Lampung Tengah,518071,502070
Kab. Lampung Timur,417699,405207
Kab. Lampung Utara,242304,237173
Kab. Mesuji,87452,82545
Kab. Pesawaran,176324,168579
Kab. Pesisir Barat,62156,57499
Kab. Pringsewu,162858,155656
Kab. Tanggamus,233355,218357
Kab. Tulang Bawang,158386,148431
Kab. Tulang Bawang Barat,112023,108675
Kab. Way Kanan,176633,169620